PlacerAnnealRandom_10000_84,PlacerAnnealRandom_10000_87,PlacerAnnealRandom_10000_90,PlacerAnnealRandom_10000_93,PlacerAnnealRandom_10000_96,PlacerAnnealRandom_20000_84,PlacerAnnealRandom_20000_87,PlacerAnnealRandom_20000_90,PlacerAnnealRandom_20000_93,PlacerAnnealRandom_20000_96,PlacerAnnealHybrid_10000_84,PlacerAnnealHybrid_10000_87,PlacerAnnealHybrid_10000_90,PlacerAnnealHybrid_10000_93,PlacerAnnealHybrid_10000_96,PlacerAnnealHybrid_20000_84,PlacerAnnealHybrid_20000_87,PlacerAnnealHybrid_20000_90,PlacerAnnealHybrid_20000_93,PlacerAnnealHybrid_20000_96
399364.0,386904.0,399536.0,411959.0,500315.0,408444.0,410968.0,391410.0,425828.0,497008.0,362043.0,361176.0,393661.0,418112.0,479870.0,368505.0,375263.0,431387.0,440405.0,505490.0
398159.0,385398.0,399050.0,407097.0,481547.0,408444.0,412542.0,389059.0,420672.0,501315.0,361079.0,364051.0,394058.0,412605.0,471471.0,368076.0,372845.0,419304.0,431546.0,498982.0
393894.0,381492.0,390894.0,405193.0,475561.0,409212.0,411300.0,387725.0,419006.0,503343.0,359360.0,362299.0,379011.0,406116.0,479806.0,366355.0,375765.0,417395.0,424424.0,502826.0
391815.0,381182.0,390017.0,404065.0,471573.0,408154.0,408108.0,386179.0,419856.0,498433.0,359587.0,362689.0,376825.0,406429.0,466953.0,362681.0,375161.0,413618.0,426778.0,520311.0
391656.0,379434.0,389365.0,401954.0,459994.0,407521.0,405363.0,380911.0,407720.0,507686.0,358702.0,362604.0,376891.0,405252.0,452222.0,361705.0,371775.0,407385.0,423338.0,526322.0
390283.0,378485.0,386338.0,400258.0,462934.0,406746.0,403134.0,379169.0,402285.0,501384.0,358820.0,362963.0,374020.0,399386.0,445681.0,360982.0,366256.0,405534.0,418092.0,512006.0
388176.0,374404.0,386338.0,397610.0,459664.0,404700.0,402446.0,376262.0,406096.0,503982.0,358820.0,362319.0,371252.0,400007.0,441149.0,358957.0,365644.0,406128.0,416219.0,509752.0
384952.0,378203.0,385511.0,392448.0,457693.0,404929.0,402736.0,375474.0,400948.0,496299.0,358559.0,365603.0,372736.0,401106.0,439587.0,358849.0,365000.0,404504.0,412226.0,494194.0
384350.0,380086.0,384141.0,386780.0,465497.0,404929.0,402160.0,376172.0,398589.0,484889.0,354507.0,364726.0,372410.0,401109.0,440422.0,359552.0,366177.0,401416.0,398908.0,489848.0
384142.0,381634.0,383770.0,386053.0,465005.0,402377.0,401427.0,375688.0,399238.0,463983.0,359425.0,363070.0,368521.0,398784.0,433097.0,359112.0,365699.0,388475.0,396054.0,486800.0
384098.0,381189.0,383391.0,382732.0,462645.0,404472.0,398372.0,374965.0,396340.0,474968.0,358953.0,361472.0,368464.0,400383.0,430686.0,359112.0,365847.0,380242.0,392550.0,491273.0
383850.0,379764.0,382833.0,382108.0,455513.0,398460.0,395385.0,373914.0,395258.0,470626.0,358273.0,358714.0,367433.0,400726.0,428090.0,358762.0,362978.0,381655.0,393582.0,477558.0
383615.0,379361.0,381530.0,379564.0,453013.0,395855.0,393736.0,374595.0,394117.0,457979.0,357875.0,356327.0,367094.0,397904.0,422362.0,358342.0,363008.0,380510.0,387591.0,475114.0
383847.0,379111.0,382987.0,378828.0,448410.0,396537.0,395192.0,373891.0,394774.0,450740.0,358580.0,357724.0,367080.0,395901.0,420760.0,361147.0,363030.0,378726.0,383119.0,475918.0
383663.0,379535.0,383143.0,376997.0,445851.0,392968.0,392392.0,373076.0,393214.0,457138.0,356684.0,357676.0,366144.0,392605.0,418847.0,358469.0,362799.0,376036.0,381467.0,471792.0
383487.0,379109.0,384867.0,378409.0,435503.0,392597.0,393180.0,372246.0,388213.0,447116.0,355674.0,352616.0,366440.0,390010.0,415587.0,358460.0,362733.0,374357.0,380977.0,477777.0
383347.0,377285.0,379024.0,378983.0,423917.0,393996.0,393413.0,375274.0,387186.0,442270.0,360388.0,353026.0,366084.0,387915.0,412560.0,361316.0,362966.0,373727.0,378676.0,470108.0
383535.0,375807.0,377730.0,380149.0,423666.0,388109.0,391004.0,374529.0,383819.0,429492.0,360332.0,352363.0,365624.0,387248.0,407982.0,360966.0,362655.0,372105.0,376801.0,469119.0
383351.0,375807.0,378536.0,378832.0,421834.0,386489.0,392929.0,376845.0,383533.0,413749.0,360608.0,350655.0,365226.0,385180.0,403670.0,363670.0,361569.0,372106.0,375552.0,458052.0
386093.0,375532.0,376979.0,378050.0,420046.0,386348.0,390563.0,376245.0,383024.0,410010.0,364607.0,349814.0,366704.0,384432.0,402518.0,362950.0,361485.0,370539.0,373678.0,444111.0
386093.0,375218.0,375553.0,377602.0,416949.0,379366.0,390467.0,376547.0,382874.0,403218.0,363087.0,348190.0,365160.0,382714.0,401258.0,356919.0,360671.0,368496.0,376858.0,433679.0
385782.0,374828.0,375223.0,376560.0,413563.0,379496.0,389301.0,374602.0,381638.0,402035.0,362597.0,348270.0,365160.0,381526.0,398119.0,353709.0,360364.0,366708.0,371737.0,435628.0
385311.0,372414.0,375374.0,376560.0,408703.0,380126.0,389448.0,373758.0,378078.0,410669.0,362721.0,348270.0,365370.0,370028.0,396116.0,353076.0,359614.0,365581.0,371266.0,422623.0
385865.0,373273.0,375190.0,371296.0,405141.0,380365.0,390757.0,374106.0,378925.0,407847.0,362229.0,348270.0,364522.0,366361.0,394306.0,351961.0,358928.0,364279.0,370621.0,425814.0
385684.0,372403.0,374724.0,370394.0,402689.0,380009.0,390015.0,372168.0,376095.0,415449.0,361789.0,348650.0,363038.0,366129.0,392679.0,353832.0,358468.0,364201.0,367154.0,428364.0
383802.0,371809.0,374677.0,370046.0,403507.0,379359.0,389614.0,371838.0,375601.0,411287.0,361857.0,345572.0,362668.0,365004.0,384604.0,348051.0,356483.0,364098.0,365873.0,427593.0
383466.0,371741.0,374243.0,370151.0,400811.0,378652.0,388205.0,372470.0,375297.0,400267.0,361840.0,345393.0,362696.0,360329.0,382731.0,346732.0,357659.0,364050.0,365598.0,428553.0
383309.0,371731.0,374239.0,369530.0,400921.0,375253.0,386705.0,369785.0,373988.0,394376.0,361038.0,343789.0,360703.0,358928.0,381446.0,345543.0,357005.0,363994.0,365057.0,424711.0
382417.0,372415.0,373571.0,369133.0,400088.0,373304.0,384294.0,370306.0,374391.0,401551.0,360998.0,347042.0,362807.0,359058.0,381097.0,345193.0,357061.0,363979.0,364333.0,433518.0
384133.0,369531.0,373571.0,366994.0,401999.0,372926.0,387046.0,369441.0,372792.0,400271.0,360998.0,345772.0,362741.0,358046.0,385525.0,344791.0,359369.0,363907.0,364947.0,423085.0
384405.0,369435.0,373236.0,367037.0,400948.0,372810.0,388482.0,368943.0,372471.0,392155.0,360623.0,346378.0,362765.0,355745.0,385488.0,344546.0,358856.0,363907.0,360879.0,418079.0
384365.0,369111.0,373105.0,367037.0,401080.0,372126.0,388379.0,368889.0,372045.0,386284.0,360293.0,346340.0,362765.0,356666.0,384646.0,341150.0,358528.0,363311.0,360181.0,405045.0
384349.0,369111.0,372271.0,367257.0,399718.0,372126.0,385863.0,368889.0,371164.0,387395.0,357962.0,346359.0,362765.0,355408.0,381799.0,341194.0,357564.0,363099.0,351478.0,401846.0
382756.0,368455.0,371404.0,366865.0,399172.0,370753.0,385147.0,368247.0,371124.0,383726.0,357343.0,345969.0,362624.0,354127.0,382015.0,340062.0,356970.0,363372.0,346514.0,402559.0
381802.0,367994.0,371216.0,366865.0,397892.0,370741.0,384659.0,367400.0,370150.0,382168.0,356726.0,345742.0,364794.0,351630.0,382179.0,336287.0,356970.0,363372.0,343425.0,399082.0
381032.0,367762.0,370422.0,366865.0,397498.0,370664.0,384543.0,366811.0,369727.0,377322.0,356382.0,345742.0,365169.0,350349.0,378665.0,335628.0,356970.0,363310.0,342255.0,397128.0
379579.0,366133.0,369637.0,366802.0,396321.0,371240.0,384129.0,366731.0,369010.0,380227.0,356307.0,345698.0,364790.0,349807.0,374717.0,334212.0,357797.0,363131.0,341659.0,399591.0
379579.0,367219.0,368611.0,367735.0,393431.0,371140.0,383291.0,365593.0,368220.0,372191.0,356349.0,343922.0,364714.0,349671.0,373144.0,334086.0,355967.0,362569.0,341050.0,389660.0
379579.0,366595.0,368098.0,366917.0,393067.0,369280.0,381783.0,366551.0,368484.0,369736.0,356331.0,342139.0,362012.0,349228.0,372953.0,333129.0,355473.0,362295.0,340255.0,387542.0
379579.0,366012.0,367925.0,366229.0,392035.0,366434.0,377985.0,366597.0,368886.0,369972.0,356380.0,340471.0,362069.0,349433.0,371744.0,333109.0,355028.0,362288.0,337147.0,387549.0
378924.0,366012.0,367925.0,366135.0,394404.0,366426.0,374541.0,366536.0,366332.0,370361.0,356317.0,338605.0,362069.0,349655.0,370074.0,333105.0,355011.0,362513.0,336435.0,383538.0
378385.0,365330.0,368432.0,366785.0,392720.0,365752.0,373751.0,364189.0,363954.0,368284.0,356525.0,338661.0,360808.0,349575.0,369905.0,331893.0,357194.0,362215.0,334446.0,383387.0
379237.0,364826.0,367409.0,366633.0,390367.0,367878.0,373256.0,364714.0,362086.0,372418.0,356525.0,338661.0,360712.0,345563.0,367538.0,331480.0,357194.0,362215.0,334386.0,380059.0
379185.0,360352.0,367130.0,365616.0,389364.0,367606.0,373256.0,363761.0,359882.0,372454.0,362927.0,338597.0,360630.0,344607.0,366008.0,331480.0,357194.0,362206.0,333062.0,379578.0
377736.0,360472.0,368576.0,364260.0,389213.0,367302.0,372066.0,363730.0,358898.0,370813.0,361733.0,338585.0,359238.0,344607.0,365136.0,330885.0,357194.0,361606.0,333022.0,383576.0
376732.0,360233.0,367964.0,364044.0,389456.0,366178.0,371860.0,362966.0,358682.0,363996.0,361397.0,338585.0,358818.0,344544.0,362076.0,329275.0,357086.0,361606.0,333013.0,380977.0
376732.0,362537.0,367927.0,363516.0,388863.0,365404.0,372058.0,362857.0,356771.0,364487.0,360829.0,338696.0,358722.0,344895.0,367877.0,329259.0,357086.0,361227.0,334469.0,381077.0
375470.0,362679.0,367427.0,362864.0,388952.0,365212.0,375950.0,362639.0,356471.0,361346.0,360837.0,338696.0,356666.0,340428.0,363514.0,328357.0,356598.0,360620.0,333345.0,378530.0
375379.0,361183.0,367427.0,362864.0,389298.0,366690.0,377779.0,362431.0,356723.0,363479.0,360837.0,337180.0,356076.0,340327.0,363842.0,328357.0,356742.0,360135.0,332504.0,378333.0
376012.0,360220.0,366843.0,362864.0,387022.0,369614.0,377581.0,362107.0,360311.0,358741.0,360237.0,337592.0,356076.0,339977.0,364671.0,328285.0,356358.0,360912.0,332515.0,377786.0
375816.0,359974.0,366538.0,362926.0,386536.0,369614.0,377581.0,361043.0,359157.0,361023.0,358866.0,337584.0,356076.0,339912.0,363675.0,328261.0,355129.0,359126.0,332525.0,378061.0
375064.0,359672.0,365888.0,362622.0,383060.0,369614.0,377076.0,361043.0,358641.0,357627.0,357752.0,337344.0,356061.0,339908.0,363171.0,328125.0,354847.0,358611.0,332299.0,377499.0
375064.0,359696.0,367322.0,362402.0,383062.0,369614.0,376998.0,359427.0,358196.0,361216.0,358099.0,336892.0,355922.0,339906.0,362611.0,328125.0,353718.0,354896.0,332304.0,374734.0
375064.0,358462.0,367260.0,362076.0,382864.0,367984.0,377005.0,356288.0,356844.0,358840.0,358413.0,334112.0,355754.0,340856.0,362677.0,328105.0,352902.0,355136.0,332010.0,373368.0
371602.0,359842.0,367318.0,361936.0,382796.0,368015.0,377005.0,355168.0,356658.0,358741.0,358413.0,333512.0,355296.0,340348.0,362138.0,327934.0,351845.0,354493.0,332002.0,370165.0
371292.0,359624.0,367228.0,361936.0,382299.0,367119.0,375680.0,355064.0,356562.0,357653.0,357325.0,333462.0,355296.0,340870.0,361460.0,327934.0,351845.0,354431.0,332314.0,376387.0
370178.0,359217.0,366589.0,361426.0,382074.0,363855.0,376322.0,355064.0,355933.0,356078.0,357357.0,333462.0,355288.0,340766.0,360485.0,327934.0,351455.0,354431.0,332179.0,372787.0
370383.0,359173.0,367234.0,360940.0,382262.0,363597.0,373909.0,354752.0,355861.0,355775.0,357138.0,333107.0,355288.0,339287.0,358463.0,327934.0,351455.0,353711.0,331179.0,371526.0
370315.0,359005.0,367062.0,360490.0,382606.0,363597.0,373909.0,354688.0,357627.0,354616.0,357490.0,333107.0,355288.0,338801.0,357813.0,327418.0,351919.0,353711.0,331064.0,369526.0
372421.0,361516.0,367012.0,359094.0,381868.0,365639.0,373673.0,354530.0,356742.0,353045.0,356655.0,333107.0,354987.0,337028.0,353282.0,327418.0,351851.0,353711.0,331824.0,369069.0
372421.0,361412.0,366770.0,359027.0,382456.0,365272.0,373673.0,354645.0,356567.0,349745.0,355502.0,333107.0,354941.0,334117.0,353189.0,325724.0,351728.0,353711.0,331824.0,366590.0
372421.0,361330.0,364680.0,358829.0,381163.0,363571.0,373193.0,354309.0,355190.0,346639.0,355202.0,331833.0,354214.0,334117.0,353781.0,325608.0,352279.0,354222.0,331768.0,365815.0
372596.0,361330.0,364560.0,360314.0,380197.0,363517.0,373311.0,354309.0,355136.0,343615.0,354426.0,331833.0,354214.0,333941.0,354071.0,324462.0,351768.0,354189.0,331724.0,365290.0
371672.0,361318.0,364560.0,360162.0,379867.0,363453.0,373311.0,354222.0,353957.0,343418.0,354372.0,331833.0,354203.0,333283.0,353650.0,322962.0,350496.0,351947.0,331724.0,364403.0
371700.0,361345.0,364424.0,357794.0,379751.0,363145.0,373311.0,354161.0,350486.0,343439.0,354511.0,331833.0,354173.0,333196.0,352479.0,322951.0,351860.0,352297.0,331724.0,364403.0
372582.0,360091.0,364174.0,357160.0,379454.0,363321.0,372086.0,359328.0,350486.0,343735.0,360043.0,331833.0,353908.0,332890.0,352131.0,322521.0,354321.0,356336.0,331724.0,363145.0
371307.0,360316.0,364160.0,358737.0,376603.0,363045.0,371698.0,358620.0,350204.0,343086.0,360043.0,331183.0,352966.0,332837.0,352131.0,320601.0,353971.0,357008.0,331385.0,362712.0
370296.0,360060.0,364036.0,357998.0,376685.0,362912.0,371702.0,357482.0,349666.0,342264.0,358424.0,331183.0,353026.0,332466.0,349743.0,321889.0,354321.0,354378.0,331321.0,360396.0
368689.0,356743.0,364036.0,357935.0,376362.0,362796.0,371702.0,358298.0,349666.0,338695.0,357604.0,331641.0,353026.0,332327.0,347114.0,319498.0,353969.0,355375.0,331321.0,359429.0
368462.0,356743.0,363994.0,357935.0,376254.0,362809.0,371334.0,358290.0,350178.0,337513.0,357462.0,331585.0,350918.0,331766.0,347144.0,318882.0,353599.0,354977.0,332128.0,358699.0
368434.0,355355.0,364963.0,357068.0,375641.0,362809.0,371270.0,357808.0,350719.0,337273.0,357380.0,331585.0,350725.0,331346.0,348434.0,318802.0,350438.0,354805.0,331182.0,359250.0
365796.0,354859.0,364743.0,356962.0,375529.0,362652.0,371270.0,357923.0,350719.0,337281.0,357380.0,330874.0,352583.0,331346.0,344760.0,316852.0,350088.0,354507.0,330196.0,358400.0
364828.0,354509.0,364743.0,356357.0,375091.0,362463.0,371270.0,357743.0,349619.0,336681.0,356392.0,330874.0,354966.0,331236.0,341576.0,316852.0,349788.0,354529.0,329932.0,356326.0
363834.0,355225.0,364691.0,356067.0,374895.0,362415.0,371366.0,357655.0,349384.0,336723.0,357503.0,334113.0,354834.0,331236.0,339774.0,316808.0,349788.0,354523.0,329856.0,355434.0
364280.0,354957.0,365300.0,352181.0,374712.0,361847.0,371066.0,357655.0,349384.0,335030.0,356543.0,334113.0,354725.0,331102.0,339964.0,316501.0,348433.0,354523.0,329856.0,354692.0
364237.0,354217.0,365300.0,351827.0,374760.0,361847.0,371066.0,353988.0,349134.0,334622.0,356339.0,334151.0,354569.0,331102.0,339224.0,314135.0,348147.0,354523.0,329161.0,354692.0
364460.0,352936.0,365326.0,350959.0,374749.0,361795.0,370766.0,353988.0,349134.0,334587.0,356339.0,333826.0,354569.0,331102.0,338526.0,314135.0,348363.0,356195.0,329067.0,354840.0
364228.0,352758.0,365326.0,350752.0,373553.0,361861.0,370656.0,352750.0,349382.0,333701.0,356339.0,333826.0,354569.0,330972.0,337738.0,314265.0,347763.0,355595.0,328960.0,355635.0
364228.0,352758.0,365944.0,351871.0,373532.0,362378.0,368986.0,352449.0,349382.0,333701.0,356339.0,333818.0,354569.0,331070.0,335751.0,314265.0,347763.0,355595.0,328876.0,355104.0
362956.0,352758.0,365944.0,351731.0,375415.0,362282.0,368494.0,352311.0,348134.0,332677.0,356788.0,333756.0,354569.0,330990.0,335329.0,314505.0,347763.0,355595.0,328872.0,355165.0
363313.0,352763.0,366057.0,351050.0,375377.0,362106.0,368494.0,352311.0,348134.0,330758.0,356788.0,333716.0,354569.0,330538.0,333845.0,314319.0,347719.0,355595.0,328435.0,354009.0
362553.0,352698.0,366009.0,351010.0,375377.0,361649.0,371535.0,352247.0,347850.0,330943.0,356852.0,332178.0,354569.0,330538.0,333954.0,314265.0,347371.0,355595.0,328431.0,353444.0
359009.0,352698.0,366009.0,351010.0,374674.0,360537.0,371840.0,352225.0,347738.0,330943.0,356643.0,332178.0,354569.0,330538.0,333874.0,317405.0,347551.0,354925.0,328430.0,353444.0
358835.0,352698.0,365813.0,350884.0,374490.0,360537.0,370838.0,352742.0,346812.0,327781.0,355957.0,332178.0,353472.0,330538.0,333814.0,317366.0,347721.0,353835.0,328430.0,353437.0
358325.0,352698.0,365585.0,350841.0,373155.0,359210.0,370310.0,352742.0,346613.0,326879.0,355879.0,331843.0,352943.0,330538.0,333813.0,317116.0,349483.0,353235.0,328417.0,353159.0
359351.0,354019.0,365585.0,351203.0,373195.0,358860.0,370228.0,352795.0,346469.0,326775.0,354289.0,331284.0,352408.0,329240.0,334103.0,317116.0,349483.0,353235.0,328410.0,353083.0
